,게임이름,링크,이미지,소개
0,투 포인트 캠퍼스,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012757,https://cdn.gamemeca.com/gmdb/g001/27/57/gm995011_220809-2.jpg,"'투 포인트 캠퍼스'는 병원 경영 시뮬레이션으로 유명한 투 포인트 호스피탈의 차기작이다. 그냥 보기에는 평온해보이는 캠퍼스 경영 시뮬레이션처럼 보이지만, 실상은 전작과 비슷하게 온갖 독특하고 나사 빠진 요소들이 한가득하다. "
1,그림 가디언즈: 더블 퍼지,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012756,https://cdn.gamemeca.com/gmdb/g001/27/56/gm663841_220809-risell-uu7.jpg,"그림 가디언즈는 악마의 성으로 변해버린 학교를 원래대로 되돌리기 위해 고군분투하는 악마 헌터 자매의 여정을 다룬다. 언니 ‘카미조노 시노부’는 총을 쏘는 원거리 공격에 능하며, 동생 ‘카미조노 마야’는 근접공격과 종이접기를 활용한 보조능력을 지녔다. 거대한 학을 접어서 학을 딛고 먼 곳으로 넘어가거나, 종이인형을 접어 방어막처럼 두르는 식이다."
2,플레이트업!,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012755,https://cdn.gamemeca.com/gmdb/g001/27/55/gm622218_220808-2.jpg,"‘플레이트업!'은 혼란스러운 주방과 레스토랑 경영을 동시에 하는 쿠킹 액션 로그라이트 게임이다. 최대 4명의 플레이어가 가게 오픈을 준비해 손님에게 주문받고 요리부터 서빙까지 하면서 하루를 마무리한다. 단, 손님이 원하는 시간 안에 음식을 내놓지 못하면 가게는 폐업한다."
3,아랑전설(2022),https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012754,https://cdn.gamemeca.com/gmdb/g001/27/54/gm417465_220808-risell-uu3.jpg,"아랑전설은 1991년에 시작되어 스트리트 파이터와 함께 90년대 대전격투게임 붐을 견인했다. 1999년에 출시된 ‘아랑 마크 오브 더 울브스’ 이후 새로운 게임이 나오지 않으며 명맥이 끊겼고, 약 20년 뒤 최신작 개발 소식이 전해지며 다시금 물망에 올랐다. 티저 영상에는 락 하워드 등 3인이 등장한다  "
4,하드 웨스트 2,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012753,https://cdn.gamemeca.com/gmdb/g001/27/53/gm339045_220808-4.jpg,"하드 웨스트 2는 초자연적 요소가 살아있는 기괴한 서부 세계관과 엑스컴 스타일 턴제 전투를 조합해 주목받았던 하드 웨스트의 후속작이다. 금광을 찾아 떠난 아버지와 아들의 이야기를 그린 전작과 달리 이번엔 황금을 가득 실었다는 소문이 들리는 유령 열차 탈취를 노린 강도단이 주인공이며, 열차에서 만난 악마로 인해 생긴 이야기를 다루고 있다."
5,모추어리 어시스턴트,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012751,https://cdn.gamemeca.com/gmdb/g001/27/51/gm349836_220808-6.jpg,"'더 모추어리 어시스턴트'는 어느 날 장의사 견습생이 시신 방부 처리를 위해 늦은 밤 영안실에 가면서 생기는 이야기를 다루고 있다. 플레이어는 방부 처리 체크 리스트를 확인하며 절차대로 작업을 해야 하는데, 이 과정에서 초자연적 현상을 겪게 된다."
6,룸 오브 디프레션,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012750,https://cdn.gamemeca.com/gmdb/g001/27/50/gm893354_220802-risell-uu10.jpg,"‘룸 오브 디프레션'은 우울증을 앓고 있는 직장인 ‘문’의 일상을 다룬다. ‘문’은 평범한 도시에서 살아가는 직장인이지만 그녀의 삶은 평범하지 않다. ‘문’은 우울증을 앓고 있으며, 평범한 일상도 낯설게 느껴진다. 플레이어는 게임을 통해 ‘문’의 일상을 경험할 수 있으며, 게임 속 크고 작은 사건이 주인공에게 각기 다른 영향을 미친다"
7,프로젝트 L,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012749,https://cdn.gamemeca.com/gmdb/g001/27/49/gm783288_220802-risell-uu3.jpg,"프로젝트 L은 2016년에 라이엇게임즈가 인수한 래디언트 엔터테인먼트 창업자인 톰과 토니 캐넌 형제가 개발 중인 대전격투신작이다. 카툰 랜더링 그래픽에, 캐릭터 2명이 팀을 이뤄 싸우는 태그 방식 게임이다. 태그를 통해 콤보를 연결할 수 있고, 간단한 커맨드로 스킬을 쓰는 것도 가능하다. 아울러 온라인 멀티플레이를 지원하며, 온라인 플레이에서도 일관된 컨트롤을 유지할 수 있는 롤백 넷코드를 지원한다."
8,히트2,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012748,https://cdn.gamemeca.com/gmdb/g001/27/48/gm686381_220728-risell-yy10.jpg,"히트2는 원작 히트의 세계관을 이어가면서도, 공성전과 대규모 필드 전투를 핵심으로 한 MMORPG다. 조율자의 제단, 크리에이터 후원 프로그램 등 독자적인 이용자 참여형 시스템을 갖춰 보다 확장된 게임 플레이 경험을 선사할 계획이다."
9,사피엔스,https://www.gamemeca.com/game.php?rts=gmview&gmid=g0012747,https://cdn.gamemeca.com/gmdb/g001/27/47/gm158181_220727-2.jpg,"'사피엔스'는 선사시대를 배경으로 여러 부족 중 하나를 선택해 그들을 이끌고 발전시켜 작은 부락에서 시작해 거대한 도시를 건설할 수 있다. 이 과정에서 사냥이나 채집, 농업이나 건설 등 다양한 방법을 통해 부족을 성장시킨다. "
